연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2020 ,광주광역시,지체,3672 ,2105 ,5777 ,13142 ,11092 ,24234 ,16814 ,13197 ,30011 
2020 ,대전광역시,지체,4273 ,2089 ,6362 ,15054 ,11126 ,26180 ,19327 ,13215 ,32542 
2020 ,울산광역시,지체,2876 ,1397 ,4273 ,11792 ,7451 ,19243 ,14668 ,8848 ,23516 
2020 ,세종특별자치시,지체,787 ,384 ,1171 ,2719 ,1888 ,4607 ,3506 ,2272 ,5778 
2020 ,제주특별자치도,지체,1874 ,1125 ,2999 ,6138 ,5258 ,11396 ,8012 ,6383 ,14395 
2020 ,소계,시각,24184 ,23532 ,47716 ,125553 ,79055 ,204608 ,149737 ,102587 ,252324 
2020 ,서울특별시,시각,4861 ,4128 ,8989 ,20143 ,12492 ,32635 ,25004 ,16620 ,41624 
2020 ,부산광역시,시각,1700 ,1654 ,3354 ,8966 ,5703 ,14669 ,10666 ,7357 ,18023 
2020 ,대구광역시,시각,1138 ,1060 ,2198 ,5959 ,3804 ,9763 ,7097 ,4864 ,11961 
2020 ,인천광역시,시각,1338 ,1249 ,2587 ,6924 ,4216 ,11140 ,8262 ,5465 ,13727 
2020 ,광주광역시,시각,718 ,662 ,1380 ,3558 ,2352 ,5910 ,4276 ,3014 ,7290 
2020 ,대전광역시,시각,741 ,620 ,1361 ,3434 ,2201 ,5635 ,4175 ,2821 ,6996 
2020 ,울산광역시,시각,439 ,477 ,916 ,2430 ,1515 ,3945 ,2869 ,1992 ,4861 
2020 ,세종특별자치시,시각,80 ,77 ,157 ,666 ,372 ,1038 ,746 ,449 ,1195 
2020 ,제주특별자치도,시각,380 ,462 ,842 ,1957 ,1343 ,3300 ,2337 ,1805 ,4142 
2020 ,소계,청각,49340 ,43611 ,92951 ,159264 ,143574 ,302838 ,208604 ,187185 ,395789 
2020 ,서울특별시,청각,7210 ,6090 ,13300 ,24411 ,19719 ,44130 ,31621 ,25809 ,57430 
2020 ,부산광역시,청각,2968 ,2456 ,5424 ,10316 ,8455 ,18771 ,13284 ,10911 ,24195 
2020 ,대구광역시,청각,2286 ,2108 ,4394 ,9901 ,9712 ,19613 ,12187 ,11820 ,24007 
2020 ,인천광역시,청각,2761 ,2408 ,5169 ,9757 ,8311 ,18068 ,12518 ,10719 ,23237 
2020 ,광주광역시,청각,1396 ,1270 ,2666 ,3989 ,3528 ,7517 ,5385 ,4798 ,10183 
2020 ,대전광역시,청각,1136 ,1070 ,2206 ,4224 ,3766 ,7990 ,5360 ,4836 ,10196 
2020 ,울산광역시,청각,1258 ,828 ,2086 ,3177 ,2432 ,5609 ,4435 ,3260 ,7695 
2020 ,세종특별자치시,청각,217 ,216 ,433 ,672 ,626 ,1298 ,889 ,842 ,1731 
2020 ,제주특별자치도,청각,681 ,741 ,1422 ,2336 ,2732 ,5068 ,3017 ,3473 ,6490 
2020 ,소계,언어,8060 ,3240 ,11300 ,7889 ,3202 ,11091 ,15949 ,6442 ,22391 
2020 ,서울특별시,언어,1249 ,468 ,1717 ,1193 ,504 ,1697 ,2442 ,972 ,3414 
2020 ,부산광역시,언어,565 ,234 ,799 ,532 ,211 ,743 ,1097 ,445 ,1542 
2020 ,대구광역시,언어,418 ,159 ,577 ,374 ,156 ,530 ,792 ,315 ,1107 
2020 ,인천광역시,언어,506 ,193 ,699 ,576 ,213 ,789 ,1082 ,406 ,1488 
2020 ,광주광역시,언어,208 ,84 ,292 ,203 ,71 ,274 ,411 ,155 ,566 
2020 ,대전광역시,언어,238 ,102 ,340 ,173 ,79 ,252 ,411 ,181 ,592 
